date,underlying_price,option_symbol,option_type,strike,expiry,bid,ask,mid
2025-07-17,625.469970703125,SPY250717C00632000,call,632.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717C00633000,call,633.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00634000,call,634.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00635000,call,635.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00636000,call,636.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00637000,call,637.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00638000,call,638.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00639000,call,639.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00640000,call,640.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00641000,call,641.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00642000,call,642.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00643000,call,643.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00644000,call,644.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00645000,call,645.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00646000,call,646.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00647000,call,647.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00648000,call,648.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00649000,call,649.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00650000,call,650.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00655000,call,655.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00660000,call,660.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00665000,call,665.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00670000,call,670.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00675000,call,675.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00690000,call,690.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00695000,call,695.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717C00700000,call,700.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00430000,put,430.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00440000,put,440.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00475000,put,475.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00480000,put,480.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00485000,put,485.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00490000,put,490.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00495000,put,495.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00500000,put,500.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00505000,put,505.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00520000,put,520.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00525000,put,525.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00530000,put,530.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00535000,put,535.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00540000,put,540.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00545000,put,545.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00550000,put,550.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00555000,put,555.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00560000,put,560.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00565000,put,565.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00570000,put,570.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00575000,put,575.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00576000,put,576.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00578000,put,578.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00579000,put,579.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00580000,put,580.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00583000,put,583.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00584000,put,584.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00585000,put,585.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00586000,put,586.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00587000,put,587.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00589000,put,589.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00590000,put,590.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00591000,put,591.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00592000,put,592.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00593000,put,593.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00594000,put,594.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00595000,put,595.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00596000,put,596.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00597000,put,597.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00598000,put,598.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00599000,put,599.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00600000,put,600.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00601000,put,601.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00602000,put,602.0,2025-07-17,0.0,0.01,0.005
2025-07-17,625.469970703125,SPY250717P00603000,put,603.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00604000,put,604.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00605000,put,605.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00606000,put,606.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00607000,put,607.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00608000,put,608.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00609000,put,609.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00610000,put,610.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00611000,put,611.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00612000,put,612.0,2025-07-17,0.01,0.02,0.015
2025-07-17,625.469970703125,SPY250717P00613000,put,613.0,2025-07-17,0.02,0.03,0.025
2025-07-17,625.469970703125,SPY250717P00614000,put,614.0,2025-07-17,0.02,0.03,0.025
2025-07-17,625.469970703125,SPY250717P00615000,put,615.0,2025-07-17,0.03,0.04,0.035
2025-07-17,625.469970703125,SPY250717P00616000,put,616.0,2025-07-17,0.03,0.04,0.035
2025-07-17,625.469970703125,SPY250717P00617000,put,617.0,2025-07-17,0.04,0.05,0.045
2025-07-17,625.469970703125,SPY250717P00618000,put,618.0,2025-07-17,0.05,0.06,0.055
2025-07-17,625.469970703125,SPY250717P00619000,put,619.0,2025-07-17,0.06,0.07,0.065
2025-07-17,625.469970703125,SPY250717P00620000,put,620.0,2025-07-17,0.08,0.09,0.08499999999999999
2025-07-17,625.469970703125,SPY250717P00621000,put,621.0,2025-07-17,0.11,0.12,0.11499999999999999
2025-07-17,625.469970703125,SPY250717P00622000,put,622.0,2025-07-17,0.15,0.16,0.155
2025-07-17,625.469970703125,SPY250717P00623000,put,623.0,2025-07-17,0.22,0.23,0.225
2025-07-17,625.469970703125,SPY250717P00624000,put,624.0,2025-07-17,0.34,0.35,0.345
2025-07-17,625.469970703125,SPY250717P00625000,put,625.0,2025-07-17,0.55,0.56,0.555
2025-07-17,625.469970703125,SPY250717P00626000,put,626.0,2025-07-17,0.92,0.93,0.925
2025-07-17,625.469970703125,SPY250717P00627000,put,627.0,2025-07-17,1.4,1.42,1.41
2025-07-17,625.469970703125,SPY250717P00628000,put,628.0,2025-07-17,2.09,2.13,2.11
2025-07-17,625.469970703125,SPY250717P00629000,put,629.0,2025-07-17,2.96,3.0,2.98
2025-07-17,625.469970703125,SPY250717P00630000,put,630.0,2025-07-17,3.87,3.92,3.895
2025-07-17,625.469970703125,SPY250717P00631000,put,631.0,2025-07-17,4.83,4.93,4.88
2025-07-17,625.469970703125,SPY250717P00632000,put,632.0,2025-07-17,6.03,6.21,6.12
2025-07-17,625.469970703125,SPY250717P00633000,put,633.0,2025-07-17,6.91,7.15,7.03
2025-07-17,625.469970703125,SPY250717P00634000,put,634.0,2025-07-17,7.97,8.2,8.084999999999999
2025-07-17,625.469970703125,SPY250717P00635000,put,635.0,2025-07-17,8.87,9.1,8.985
2025-07-17,625.469970703125,SPY250717P00636000,put,636.0,2025-07-17,9.88,9.99,9.935
2025-07-17,625.469970703125,SPY250717P00640000,put,640.0,2025-07-17,14.0,14.26,14.129999999999999
2025-07-17,625.469970703125,SPY250717P00644000,put,644.0,2025-07-17,17.6,18.0,17.8
2025-07-17,625.469970703125,SPY250717P00648000,put,648.0,2025-07-17,21.75,22.1,21.925
2025-07-17,625.469970703125,SPY250717P00650000,put,650.0,2025-07-17,23.8,24.0,23.9
2025-07-17,625.469970703125,SPY250718C00245000,call,245.0,2025-07-18,381.03,381.96,381.495
2025-07-17,625.469970703125,SPY250718C00250000,call,250.0,2025-07-18,375.04,377.23,376.135
2025-07-17,625.469970703125,SPY250718C00260000,call,260.0,2025-07-18,366.09,366.3,366.195
2025-07-17,625.469970703125,SPY250718C00265000,call,265.0,2025-07-18,360.11,362.51,361.31
2025-07-17,625.469970703125,SPY250718C00280000,call,280.0,2025-07-18,344.39,347.52,345.955
2025-07-17,625.469970703125,SPY250718C00290000,call,290.0,2025-07-18,335.04,337.11,336.07500000000005
2025-07-17,625.469970703125,SPY250718C00295000,call,295.0,2025-07-18,283.69,285.69,284.69
2025-07-17,625.469970703125,SPY250718C00300000,call,300.0,2025-07-18,325.12,327.22,326.17
2025-07-17,625.469970703125,SPY250718C00305000,call,305.0,2025-07-18,273.28,275.72,274.5
2025-07-17,625.469970703125,SPY250718C00310000,call,310.0,2025-07-18,315.14,316.98,316.06
2025-07-17,625.469970703125,SPY250718C00315000,call,315.0,2025-07-18,310.13,312.23,311.18
2025-07-17,625.469970703125,SPY250718C00320000,call,320.0,2025-07-18,0.0,0.0,0.0
2025-07-17,625.469970703125,SPY250718C00325000,call,325.0,2025-07-18,0.0,0.0,0.0
2025-07-17,625.469970703125,SPY250718C00330000,call,330.0,2025-07-18,295.14,297.23,296.185
2025-07-17,625.469970703125,SPY250718C00335000,call,335.0,2025-07-18,0.0,0.0,0.0
2025-07-17,625.469970703125,SPY250718C00340000,call,340.0,2025-07-18,274.38,276.5,275.44
2025-07-17,625.469970703125,SPY250718C00345000,call,345.0,2025-07-18,244.33,246.24,245.28500000000003
2025-07-17,625.469970703125,SPY250718C00350000,call,350.0,2025-07-18,275.19,277.25,276.22
2025-07-17,625.469970703125,SPY250718C00355000,call,355.0,2025-07-18,0.0,0.0,0.0
2025-07-17,625.469970703125,SPY250718C00360000,call,360.0,2025-07-18,265.15,267.25,266.2
2025-07-17,625.469970703125,SPY250718C00365000,call,365.0,2025-07-18,0.0,0.0,0.0
2025-07-17,625.469970703125,SPY250718C00370000,call,370.0,2025-07-18,255.14,257.56,256.35
2025-07-17,625.469970703125,SPY250718C00375000,call,375.0,2025-07-18,250.17,252.28,251.225
2025-07-17,625.469970703125,SPY250718C00380000,call,380.0,2025-07-18,0.0,0.0,0.0
2025-07-17,625.469970703125,SPY250718C00385000,call,385.0,2025-07-18,240.16,242.26,241.20999999999998
2025-07-17,625.469970703125,SPY250718C00390000,call,390.0,2025-07-18,235.18,237.25,236.215
2025-07-17,625.469970703125,SPY250718C00395000,call,395.0,2025-07-18,0.0,0.0,0.0
2025-07-17,625.469970703125,SPY250718C00400000,call,400.0,2025-07-18,224.44,227.27,225.85500000000002
2025-07-17,625.469970703125,SPY250718C00405000,call,405.0,2025-07-18,220.19,222.02,221.10500000000002
2025-07-17,625.469970703125,SPY250718C00410000,call,410.0,2025-07-18,214.44,217.57,216.005
2025-07-17,625.469970703125,SPY250718C00415000,call,415.0,2025-07-18,210.17,212.27,211.22
2025-07-17,625.469970703125,SPY250718C00420000,call,420.0,2025-07-18,205.27,206.38,205.825
2025-07-17,625.469970703125,SPY250718C00425000,call,425.0,2025-07-18,200.2,202.27,201.235
2025-07-17,625.469970703125,SPY250718C00430000,call,430.0,2025-07-18,195.27,197.23,196.25
2025-07-17,625.469970703125,SPY250718C00435000,call,435.0,2025-07-18,190.18,192.28,191.23000000000002
2025-07-17,625.469970703125,SPY250718C00440000,call,440.0,2025-07-18,184.48,187.58,186.03
2025-07-17,625.469970703125,SPY250718C00445000,call,445.0,2025-07-18,180.21,182.28,181.245
2025-07-17,625.469970703125,SPY250718C00450000,call,450.0,2025-07-18,175.11,177.23,176.17000000000002
2025-07-17,625.469970703125,SPY250718C00455000,call,455.0,2025-07-18,170.21,172.59,171.4
2025-07-17,625.469970703125,SPY250718C00460000,call,460.0,2025-07-18,165.28,167.05,166.16500000000002
2025-07-17,625.469970703125,SPY250718C00465000,call,465.0,2025-07-18,161.24,162.07,161.655
2025-07-17,625.469970703125,SPY250718C00470000,call,470.0,2025-07-18,155.29,156.4,155.845
2025-07-17,625.469970703125,SPY250718C00475000,call,475.0,2025-07-18,150.85,151.29,151.07
2025-07-17,625.469970703125,SPY250718C00480000,call,480.0,2025-07-18,145.29,147.06,146.175
2025-07-17,625.469970703125,SPY250718C00485000,call,485.0,2025-07-18,141.18,142.05,141.615
2025-07-17,625.469970703125,SPY250718C00490000,call,490.0,2025-07-18,135.3,136.25,135.775
2025-07-17,625.469970703125,SPY250718C00495000,call,495.0,2025-07-18,131.2,131.42,131.31
2025-07-17,625.469970703125,SPY250718C00500000,call,500.0,2025-07-18,126.11,126.92,126.515
2025-07-17,625.469970703125,SPY250718C00505000,call,505.0,2025-07-18,120.3,122.07,121.185
2025-07-17,625.469970703125,SPY250718C00510000,call,510.0,2025-07-18,115.95,117.09,116.52000000000001
2025-07-17,625.469970703125,SPY250718C00515000,call,515.0,2025-07-18,110.28,112.12,111.2
2025-07-17,625.469970703125,SPY250718C00520000,call,520.0,2025-07-18,105.3,107.07,106.185
2025-07-17,625.469970703125,SPY250718C00525000,call,525.0,2025-07-18,100.29,102.08,101.185
2025-07-17,625.469970703125,SPY250718C00530000,call,530.0,2025-07-18,95.31,97.32,96.315
2025-07-17,625.469970703125,SPY250718C00535000,call,535.0,2025-07-18,91.11,92.13,91.62
2025-07-17,625.469970703125,SPY250718C00537000,call,537.0,2025-07-18,88.21,90.31,89.25999999999999
2025-07-17,625.469970703125,SPY250718C00540000,call,540.0,2025-07-18,85.32,87.11,86.215
2025-07-17,625.469970703125,SPY250718C00541000,call,541.0,2025-07-18,84.26,86.12,85.19
2025-07-17,625.469970703125,SPY250718C00542000,call,542.0,2025-07-18,83.26,85.33,84.295
2025-07-17,625.469970703125,SPY250718C00543000,call,543.0,2025-07-18,82.32,84.08,83.19999999999999
2025-07-17,625.469970703125,SPY250718C00544000,call,544.0,2025-07-18,81.23,83.31,82.27000000000001
2025-07-17,625.469970703125,SPY250718C00545000,call,545.0,2025-07-18,80.55,82.09,81.32
2025-07-17,625.469970703125,SPY250718C00546000,call,546.0,2025-07-18,80.21,80.42,80.315
2025-07-17,625.469970703125,SPY250718C00547000,call,547.0,2025-07-18,78.33,80.09,79.21000000000001
2025-07-17,625.469970703125,SPY250718C00548000,call,548.0,2025-07-18,77.23,79.63,78.43
2025-07-17,625.469970703125,SPY250718C00549000,call,549.0,2025-07-18,76.23,78.25,77.24000000000001
2025-07-17,625.469970703125,SPY250718C00550000,call,550.0,2025-07-18,76.06,76.55,76.305
2025-07-17,625.469970703125,SPY250718C00551000,call,551.0,2025-07-18,74.3,76.11,75.205
2025-07-17,625.469970703125,SPY250718C00552000,call,552.0,2025-07-18,73.23,75.33,74.28
2025-07-17,625.469970703125,SPY250718C00553000,call,553.0,2025-07-18,72.22,74.34,73.28
2025-07-17,625.469970703125,SPY250718C00554000,call,554.0,2025-07-18,70.51,73.64,72.075
2025-07-17,625.469970703125,SPY250718C00555000,call,555.0,2025-07-18,70.93,72.09,71.51
2025-07-17,625.469970703125,SPY250718C00556000,call,556.0,2025-07-18,70.2,71.09,70.64500000000001
2025-07-17,625.469970703125,SPY250718C00557000,call,557.0,2025-07-18,68.25,70.35,69.3
2025-07-17,625.469970703125,SPY250718C00558000,call,558.0,2025-07-18,67.26,69.34,68.30000000000001
2025-07-17,625.469970703125,SPY250718C00559000,call,559.0,2025-07-18,66.23,68.34,67.285
2025-07-17,625.469970703125,SPY250718C00560000,call,560.0,2025-07-18,66.16,66.34,66.25
2025-07-17,625.469970703125,SPY250718C00561000,call,561.0,2025-07-18,64.24,66.34,65.28999999999999
2025-07-17,625.469970703125,SPY250718C00562000,call,562.0,2025-07-18,63.35,65.1,64.225
2025-07-17,625.469970703125,SPY250718C00563000,call,563.0,2025-07-18,62.24,64.34,63.290000000000006
2025-07-17,625.469970703125,SPY250718C00564000,call,564.0,2025-07-18,61.26,63.34,62.3
2025-07-17,625.469970703125,SPY250718C00565000,call,565.0,2025-07-18,61.35,62.12,61.735
2025-07-17,625.469970703125,SPY250718C00566000,call,566.0,2025-07-18,60.09,61.31,60.7
2025-07-17,625.469970703125,SPY250718C00567000,call,567.0,2025-07-18,58.23,60.35,59.29
2025-07-17,625.469970703125,SPY250718C00568000,call,568.0,2025-07-18,57.24,59.35,58.295
2025-07-17,625.469970703125,SPY250718C00569000,call,569.0,2025-07-18,56.17,58.26,57.215
2025-07-17,625.469970703125,SPY250718C00570000,call,570.0,2025-07-18,56.31,57.31,56.81
2025-07-17,625.469970703125,SPY250718C00571000,call,571.0,2025-07-18,54.24,56.34,55.290000000000006
2025-07-17,625.469970703125,SPY250718C00572000,call,572.0,2025-07-18,53.34,55.1,54.22
2025-07-17,625.469970703125,SPY250718C00573000,call,573.0,2025-07-18,52.91,54.31,53.61
2025-07-17,625.469970703125,SPY250718C00574000,call,574.0,2025-07-18,51.29,53.35,52.32
2025-07-17,625.469970703125,SPY250718C00575000,call,575.0,2025-07-18,51.0,52.32,51.66
2025-07-17,625.469970703125,SPY250718C00576000,call,576.0,2025-07-18,49.34,51.37,50.355000000000004
2025-07-17,625.469970703125,SPY250718C00577000,call,577.0,2025-07-18,48.35,50.13,49.24
2025-07-17,625.469970703125,SPY250718C00578000,call,578.0,2025-07-18,47.95,48.41,48.18
2025-07-17,625.469970703125,SPY250718C00579000,call,579.0,2025-07-18,46.35,48.35,47.35
2025-07-17,625.469970703125,SPY250718C00580000,call,580.0,2025-07-18,46.28,46.47,46.375
2025-07-17,625.469970703125,SPY250718C00581000,call,581.0,2025-07-18,44.33,46.33,45.33
2025-07-17,625.469970703125,SPY250718C00582000,call,582.0,2025-07-18,43.96,45.12,44.54
2025-07-17,625.469970703125,SPY250718C00583000,call,583.0,2025-07-18,42.33,44.12,43.224999999999994
2025-07-17,625.469970703125,SPY250718C00584000,call,584.0,2025-07-18,41.96,42.45,42.205
2025-07-17,625.469970703125,SPY250718C00585000,call,585.0,2025-07-18,41.34,42.11,41.725
2025-07-17,625.469970703125,SPY250718C00586000,call,586.0,2025-07-18,39.33,40.48,39.905
2025-07-17,625.469970703125,SPY250718C00587000,call,587.0,2025-07-18,38.32,40.33,39.325
2025-07-17,625.469970703125,SPY250718C00588000,call,588.0,2025-07-18,37.97,38.58,38.275
2025-07-17,625.469970703125,SPY250718C00589000,call,589.0,2025-07-18,36.36,38.11,37.235
2025-07-17,625.469970703125,SPY250718C00590000,call,590.0,2025-07-18,36.31,36.47,36.39
2025-07-17,625.469970703125,SPY250718C00591000,call,591.0,2025-07-18,35.3,35.45,35.375
2025-07-17,625.469970703125,SPY250718C00592000,call,592.0,2025-07-18,33.94,34.47,34.205
2025-07-17,625.469970703125,SPY250718C00593000,call,593.0,2025-07-18,33.24,33.48,33.36
2025-07-17,625.469970703125,SPY250718C00594000,call,594.0,2025-07-18,31.34,33.34,32.34
2025-07-17,625.469970703125,SPY250718C00595000,call,595.0,2025-07-18,31.23,31.47,31.35
2025-07-17,625.469970703125,SPY250718C00596000,call,596.0,2025-07-18,29.36,30.39,29.875
2025-07-17,625.469970703125,SPY250718C00597000,call,597.0,2025-07-18,28.35,30.16,29.255000000000003
2025-07-17,625.469970703125,SPY250718C00598000,call,598.0,2025-07-18,27.35,28.41,27.880000000000003
2025-07-17,625.469970703125,SPY250718C00599000,call,599.0,2025-07-18,27.29,27.48,27.384999999999998
2025-07-17,625.469970703125,SPY250718C00600000,call,600.0,2025-07-18,26.26,26.4,26.33
2025-07-17,625.469970703125,SPY250718C00601000,call,601.0,2025-07-18,24.35,25.38,24.865000000000002
2025-07-17,625.469970703125,SPY250718C00602000,call,602.0,2025-07-18,24.33,24.47,24.4
2025-07-17,625.469970703125,SPY250718C00603000,call,603.0,2025-07-18,23.25,23.49,23.369999999999997
2025-07-17,625.469970703125,SPY250718C00604000,call,604.0,2025-07-18,22.25,22.36,22.305
2025-07-17,625.469970703125,SPY250718C00605000,call,605.0,2025-07-18,21.27,21.39,21.33
2025-07-17,625.469970703125,SPY250718C00606000,call,606.0,2025-07-18,20.32,20.44,20.380000000000003
2025-07-17,625.469970703125,SPY250718C00607000,call,607.0,2025-07-18,19.34,19.45,19.395
2025-07-17,625.469970703125,SPY250718C00608000,call,608.0,2025-07-18,18.33,18.45,18.39
2025-07-17,625.469970703125,SPY250718C00609000,call,609.0,2025-07-18,17.37,17.47,17.42
2025-07-17,625.469970703125,SPY250718C00610000,call,610.0,2025-07-18,16.36,16.46,16.41
